"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
24, 2.524311775466279e-02, 1.984318671249737e-02, 8.511805570221458e-01, 2.906073953804584e+02, 1.088667884788447e+02, 2.007507697698940e+05, 5.767182207401579e+04, 2.360327809024933e+02, 1.183768816176785e+00, -1.158100253065255e+00
25, 2.692078743282394e-02, 2.047672604146781e-02, 8.679298662479117e-01, 2.937274340077443e+02, 1.110559245135090e+02, 2.044504425596468e+05, 5.905732171191632e+04, 2.370388108476473e+02, 1.172237369686270e+00, -1.121343536658606e+00
26, 2.863651761350022e-02, 2.112463817906536e-02, 8.565644956792320e-01, 2.949406201697035e+02, 1.067917325613263e+02, 2.021652767731883e+05, 5.789190524877109e+04, 2.354442664056515e+02, 1.190507986910998e+00, -1.152261539998095e+00
27, 3.041028522208838e-02, 2.173232301546827e-02, 8.341486915047744e-01, 2.936121907892538e+02, 9.811591769868332e+01, 1.973067972461482e+05, 5.594483669066313e+04, 2.336398306962429e+02, 1.211144547915684e+00, -1.203916441130460e+00
28, 3.223399299179712e-02, 2.232515193381449e-02, 8.361337101824913e-01, 2.944518468800013e+02, 9.519231424254525e+01, 1.976861085708637e+05, 5.616818677209984e+04, 2.340157115019350e+02, 1.206848746008375e+00, -1.197991058417829e+00
29, 3.409857640369993e-02, 2.293126821275164e-02, 8.526634577266224e-01, 2.963494020184879e+02, 9.604425291322961e+01, 2.011686980248857e+05, 5.770410974338314e+04, 2.357542005135785e+02, 1.186959458216282e+00, -1.157243674922683e+00
30, 3.600477426465880e-02, 2.355091201470057e-02, 8.633128690810412e-01, 2.991091489964433e+02, 9.740729480432213e+01, 2.035931276794313e+05, 5.851289360220174e+04, 2.361096329277597e+02, 1.182888426276115e+00, -1.135786982968639e+00
31, 3.795332999499362e-02, 2.418432500176933e-02, 8.475499703711036e-01, 2.990381925303430e+02, 9.201449353141938e+01, 2.002999790495812e+05, 5.702034887692818e+04, 2.343661589946786e+02, 1.202842267925257e+00, -1.175383560037582e+00
32, 3.996574107501637e-02, 2.476379857981614e-02, 8.321292865669084e-01, 2.975024984031007e+02, 8.530272172762109e+01, 1.969000180347741e+05, 5.573851465584779e+04, 2.333430818236953e+02, 1.214534979050122e+00, -1.209390077004982e+00
33, 4.202366586872132e-02, 2.535210226895673e-02, 8.420401771819457e-01, 2.990770149268500e+02, 8.508580586278971e+01, 1.990088451774839e+05, 5.663868251256719e+04, 2.343207096225180e+02, 1.203361941832831e+00, -1.185509006434690e+00
34, 4.412669291053996e-02, 2.595329944139418e-02, 8.555639427160627e-01, 3.008617531627655e+02, 8.596396021925028e+01, 2.018861964762996e+05, 5.786721275696136e+04, 2.356190695708899e+02, 1.188506767560260e+00, -1.152916621308834e+00
35, 4.627558762524089e-02, 2.656760891086575e-02, 8.591789438209607e-01, 3.026172716827982e+02, 8.564074473774760e+01, 2.027682924569471e+05, 5.808264884086772e+04, 2.355012053123371e+02, 1.189856170070475e+00, -1.147201193586381e+00
36, 4.847477435142844e-02, 2.718172135909161e-02, 8.460363998404893e-01, 3.020660563253090e+02, 8.083051332232716e+01, 1.999821772297996e+05, 5.687862325758387e+04, 2.342018776449660e+02, 1.204720574322734e+00, -1.179143480470106e+00
