"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
61, 8.204492271377588e-01, -7.680634834483649e-03, 1.384396875291938e+00, 2.717614807969969e+02, 2.960141081605405e+01, 3.079327676853184e+05, 1.123769911190811e+05, 2.827789871829895e+02, 5.857550677837332e-01, 2.932046261004073e-01
62, 7.990343723875502e-01, -1.010828109871304e-02, 1.377668945051796e+00, 2.740177993593977e+02, 3.225335943092342e+01, 3.066561068266055e+05, 1.116110165032062e+05, 2.822230883559249e+02, 5.946708042417478e-01, 2.728836451631124e-01
63, 7.766231135072976e-01, -1.283945265149209e-02, 1.369942549120623e+00, 2.764735117961356e+02, 3.478391661384165e+01, 3.051837351160893e+05, 1.107376137747077e+05, 2.815938408885793e+02, 6.046457840043897e-01, 2.497126420664522e-01
64, 7.532486661232836e-01, -1.586895194565447e-02, 1.361109420311623e+00, 2.792152834105257e+02, 3.709391669319606e+01, 3.034980578310978e+05, 1.097415074540776e+05, 2.808718579367272e+02, 6.159454523381396e-01, 2.232863648328087e-01
65, 7.289535762515160e-01, -1.917258865871877e-02, 1.351171849963346e+00, 2.822376827017634e+02, 3.907348653303918e+01, 3.015995867906773e+05, 1.086228811527532e+05, 2.800535451136680e+02, 6.285755974100561e-01, 1.936096845955600e-01
66, 7.037909460111478e-01, -2.271610354288913e-02, 1.340157888858612e+00, 2.854913434183737e+02, 4.065950580178952e+01, 2.994920199570861e+05, 1.073865534493633e+05, 2.791414191563683e+02, 6.424456262466979e-01, 1.608104361973075e-01
67, 6.778243628873550e-01, -2.645442864029648e-02, 1.328082952884226e+00, 2.889331961540704e+02, 4.180346981164561e+01, 2.971768512253793e+05, 1.060357106084709e+05, 2.781360574718399e+02, 6.574963568764819e-01, 1.249731498824052e-01
68, 6.511281878204447e-01, -3.033538968052317e-02, 1.314861664359039e+00, 2.925279460301765e+02, 4.246435119465789e+01, 2.946350061036583e+05, 1.045635061558924e+05, 2.770323073418966e+02, 6.737542456182930e-01, 8.591619160125075e-02
69, 6.237868924033215e-01, -3.429848860185299e-02, 1.300422938676368e+00, 2.962531179178372e+02, 4.257015671633986e+01, 2.918511509223888e+05, 1.029636919877286e+05, 2.758225888898613e+02, 6.912777991516292e-01, 4.347380181351845e-02
70, 5.958938862503023e-01, -3.827202545560324e-02, 1.284917100994938e+00, 3.000819235752771e+02, 4.201407378889753e+01, 2.888559181545585e+05, 1.012512751467159e+05, 2.745084625881162e+02, 7.099919798529799e-01, -1.955889016608428e-03
71, 5.675503916554245e-01, -4.217169223510213e-02, 1.268312025277907e+00, 3.039300617624535e+02, 4.074775983510548e+01, 2.856385716662818e+05, 9.942723804774064e+04, 2.730923977821013e+02, 7.298143135451650e-01, -5.034681783982914e-02
72, 5.388665824716411e-01, -4.591710597486252e-02, 1.250428501412922e+00, 3.077495642484206e+02, 3.867482295108252e+01, 2.821599242831753e+05, 9.747635880761931e+04, 2.715631133845156e+02, 7.508564804982329e-01, -1.021028147460572e-01
73, 5.099571565166472e-01, -4.940875881905336e-02, 1.231133723389541e+00, 3.114813107894371e+02, 3.558145909836613e+01, 2.783893888519455e+05, 9.538890395749554e+04, 2.699124866204152e+02, 7.731819364170126e-01, -1.574821045262785e-01
74, 4.809410039988710e-01, -5.253306659569835e-02, 1.210834453242314e+00, 3.148831139943218e+02, 3.129076819825656e+01, 2.743960155676722e+05, 9.321931826420597e+04, 2.681955069431766e+02, 7.960196738352565e-01, -2.150402906612174e-01
75, 4.519415714524489e-01, -5.517318659062780e-02, 1.193405438375888e+00, 3.178463648569842e+02, 2.543168530264756e+01, 2.709735360249881e+05, 9.135026258435925e+04, 2.666564743855540e+02, 8.161877469705457e-01, -2.646255432972025e-01
76, 4.230832833917336e-01, -5.716187374595913e-02, 1.182111477215419e+00, 3.198802776194042e+02, 1.838169518622996e+01, 2.687600233598840e+05, 9.013487272587161e+04, 2.656224396214533e+02, 8.295903182929740e-01, -2.968693195710407e-01
77, 3.945039343460442e-01, -5.847304152184034e-02, 1.177417466087781e+00, 3.206627354541251e+02, 1.100464027651304e+01, 2.678260461580480e+05, 8.964372491881365e+04, 2.652282413393100e+02, 8.346701585903227e-01, -3.098992621014721e-01
78, 3.663378949824826e-01, -5.910883390472643e-02, 1.179680008052672e+00, 3.204535338819944e+02, 3.627157052946263e+00, 2.682634326289313e+05, 8.989325740246850e+04, 2.654564264929277e+02, 8.317315902440906e-01, -3.032792713883407e-01
79, 3.387121079614742e-01, -5.910435516940651e-02, 1.187798424132958e+00, 3.192774752972227e+02, -3.338575867704684e+00, 2.698482627429541e+05, 9.077321862162299e+04, 2.662228543039511e+02, 8.218220034835653e-01, -2.799342743226443e-01
