"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
29, 3.491334895167653e-01, 6.129138633332758e-02, 8.276065415885289e-01, 3.000071450312770e+02, 9.948808843811982e+00, 1.950284468140457e+05, 5.623695782887621e+04, 2.367163467735746e+02, 1.175935175372333e+00, -1.196166591516672e+00
30, 3.693981327851027e-01, 6.188798276895507e-02, 8.241975059546256e-01, 2.998559099092205e+02, 7.683263091357768e+00, 1.943308436409756e+05, 5.589956106743308e+04, 2.362693829346910e+02, 1.181058117318217e+00, -1.205117584167727e+00
31, 3.900005139917574e-01, 6.233886471089847e-02, 8.205894393886629e-01, 2.996206786651701e+02, 5.412198092328165e+00, 1.935872381603392e+05, 5.554773984598410e+04, 2.358146676396591e+02, 1.186266998896336e+00, -1.214451251610786e+00
32, 4.108895833594902e-01, 6.263769497886723e-02, 8.168650074546744e-01, 2.993607954784571e+02, 3.126784627325713e+00, 1.928201996479140e+05, 5.518402255871295e+04, 2.353387311265937e+02, 1.191716003114897e+00, -1.224100516622995e+00
33, 4.320112296165419e-01, 6.277789632336661e-02, 8.126246567090918e-01, 2.990288384818496e+02, 7.962962261464014e-01, 1.919458969840866e+05, 5.477093394054047e+04, 2.347958930773116e+02, 1.197927472563950e+00, -1.235059582055873e+00
34, 4.533087845356548e-01, 6.275089317970582e-02, 8.073880151950049e-01, 2.986765611184526e+02, -1.684336814305702e+00, 1.908753654502447e+05, 5.425159542801561e+04, 2.340779801208949e+02, 1.206136953868330e+00, -1.248837412018249e+00
35, 4.747233971800481e-01, 6.253740327223976e-02, 8.001023157921962e-01, 2.978080642445473e+02, -4.473154224477805e+00, 1.893496884694825e+05, 5.356529834011445e+04, 2.332213720583300e+02, 1.215925293668948e+00, -1.267044582009948e+00
36, 4.961940457759984e-01, 6.210672002389438e-02, 7.928840132362859e-01, 2.969028138721850e+02, -7.373751529035341e+00, 1.878377109751252e+05, 5.288576377711262e+04, 2.323589818304313e+02, 1.225772774468221e+00, -1.285072345090871e+00
37, 5.176594506106671e-01, 6.147115887245182e-02, 7.857590245444185e-01, 2.957421287071859e+02, -1.022479089017471e+01, 1.863207489467754e+05, 5.223954429733691e+04, 2.316009558466929e+02, 1.234423561106085e+00, -1.302216273176310e+00
38, 5.390580832440339e-01, 6.062496922416033e-02, 7.793833201711864e-01, 2.956563637002523e+02, -1.320295113846205e+01, 1.850718385363036e+05, 5.155275958892061e+04, 2.304258276052756e+02, 1.247826784813707e+00, -1.320436379532984e+00
39, 5.603290756163882e-01, 5.956701765452013e-02, 7.667303887779663e-01, 2.938058174126755e+02, -1.609877103049844e+01, 1.824054173553255e+05, 5.037768873663795e+04, 2.288895195374641e+02, 1.265339004342008e+00, -1.351610509712132e+00
40, 5.814131775793067e-01, 5.830346216205409e-02, 7.644200677311760e-01, 2.942390345564619e+02, -1.903348924327591e+01, 1.820200318938554e+05, 5.006164937973860e+04, 2.281410414632340e+02, 1.273867898839091e+00, -1.359994899499843e+00
41, 6.022537092563391e-01, 5.684948376920528e-02, 7.736150776735214e-01, 2.830491675221875e+02, -2.079517803256255e+01, 1.826410374753041e+05, 5.223229379883262e+04, 2.352038997743607e+02, 1.193259158657979e+00, -1.302408625819384e+00
42, 6.227973317832398e-01, 5.522869921783197e-02, 9.712166727857208e-01, 2.785385669938411e+02, -2.336897251487604e+01, 2.221108642505647e+05, 7.275528043422599e+04, 2.609628790581432e+02, 8.886978541491063e-01, -7.579425148662938e-01
43, 6.429925307927998e-01, 5.344757351455351e-02, 1.178031692971232e+00, 2.826305223845010e+02, -2.616899875664921e+01, 2.652386214208610e+05, 9.241757739391769e+04, 2.732926492274019e+02, 7.270310329476913e-01, -2.363101351235822e-01
44, 6.627940448309648e-01, 5.154226032947966e-02, 1.176484494973543e+00, 2.846596924177150e+02, -2.837602918310591e+01, 2.650703394343301e+05, 9.211612250552676e+04, 2.727594374411868e+02, 7.344261831670343e-01, -2.443076051617369e-01
45, 6.821608226732692e-01, 4.954456312075972e-02, 1.148782724770259e+00, 2.851036921538076e+02, -3.029722219972540e+01, 2.593480167539160e+05, 8.942805191479991e+04, 2.711853469667099e+02, 7.559993788892961e-01, -3.156209752136571e-01
46, 7.010550082132370e-01, 4.747278396724455e-02, 1.143413524732949e+00, 2.843716969292062e+02, -3.203568992619075e+01, 2.581931074441355e+05, 8.895284578066107e+04, 2.710109677287275e+02, 7.583666715112648e-01, -3.282279919384756e-01
47, 7.194430947609419e-01, 4.534360623603934e-02, 1.150888565880575e+00, 2.831096702256375e+02, -3.359814106553047e+01, 2.596715264554655e+05, 8.974388593586233e+04, 2.716451407180646e+02, 7.497363095120274e-01, -3.072420328984108e-01
48, 7.372960510534777e-01, 4.317223871669951e-02, 1.157593517471386e+00, 2.816075275849806e+02, -3.515133453433401e+01, 2.609756209796719e+05, 9.047544760963974e+04, 2.722732652071388e+02, 7.411295175657989e-01, -2.878340126857482e-01
49, 7.545872707701541e-01, 4.095668225414970e-02, 1.162794240614953e+00, 2.798249549134816e+02, -3.662744508997179e+01, 2.619490620189767e+05, 9.108097162471441e+04, 2.728695836143021e+02, 7.329023127212123e-01, -2.717697179788640e-01
50, 7.712979944317557e-01, 3.872115325348097e-02, 1.169430430063767e+00, 2.779227990811248e+02, -3.782479556839608e+01, 2.632139526555985e+05, 9.183086064683367e+04, 2.735549698817092e+02, 7.233758336762514e-01, -2.518754810057928e-01
