"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          24,      -3.379469399,     -0.5232845005,      -1.100502907,       2.075619442,      -6.989325742,    0.009905335103,       0.872497582,                 0,                 0,                 0,      0.1224515878,     -0.0252697625,      0.8721878154,                 0,        88.0836007
          0,           0,          25,      -3.425360355,     -0.5544480569,      -1.150929017,       2.029658353,      -7.037491255,     0.00993605185,      0.8739844898,                 0,                 0,                 0,      0.1227671407,     -0.0252990023,       0.873674753,                 0,       87.96094293
          0,           0,          26,      -3.466103817,     -0.5844787503,      -1.199153076,       1.988839282,       -7.06785249,    0.009947462377,      0.8752046906,                 0,                 0,                 0,       0.122962401,    -0.02533678268,      0.8748944221,                 0,        87.9827093
          0,           0,          27,      -3.500061503,     -0.6137571494,      -1.250150931,       1.954710551,      -7.084744912,    0.009933188925,      0.8760212281,                 0,                 0,                 0,      0.1230179141,    -0.02538395605,      0.8757097208,                 0,       88.19133863
          0,           0,          28,      -3.528745234,     -0.6425145014,      -1.303673451,       1.925749607,      -7.101185959,    0.009897583207,      0.8764218469,                 0,                 0,                 0,      0.1229610926,    -0.02543568024,      0.8761085789,                 0,       88.54907593
          0,           0,          29,      -3.555784932,      -0.670756562,      -1.355810599,       1.898417873,      -7.130278519,    0.009852831405,      0.8765156321,                 0,                 0,                 0,      0.1228515015,     -0.0254841758,      0.8762004841,                 0,       88.96078661
          0,           0,          30,      -3.585270862,     -0.6983137056,      -1.404479021,       1.868757968,      -7.178635544,    0.009813313776,      0.8764795971,                 0,                 0,                 0,      0.1227558181,    -0.02552220888,      0.8761628856,                 0,       89.31535433
          0,           0,          31,      -3.620458342,     -0.7250133379,      -1.451707404,       1.833617219,      -7.245625156,    0.009789428147,      0.8764853766,                 0,                 0,                 0,      0.1227219457,    -0.02554630806,      0.8761676977,                 0,       89.53386893
          0,           0,          32,      -3.662266147,     -0.7507735845,      -1.499641887,       1.792139914,      -7.324368993,    0.009785976597,      0.8766516142,                 0,                 0,                 0,      0.1227717702,     -0.0255564572,      0.8763336611,                 0,       89.58243519
          0,           0,          33,      -3.708706796,     -0.7756316066,      -1.546689957,        1.74631418,      -7.404154259,    0.009802879273,      0.8770349546,                 0,                 0,                 0,      0.1229049164,    -0.02555501925,      0.8767173713,                 0,       89.46707699
          0,           0,          34,      -3.756058049,     -0.7997238175,      -1.588311423,        1.69976633,       -7.47688187,    0.009835402724,      0.8776284015,                 0,                 0,                 0,      0.1231011957,    -0.02554644181,      0.8773116467,                 0,       89.23156744
          0,           0,          35,      -3.799679655,     -0.8232082778,      -1.621449759,       1.656925604,      -7.535789823,    0.009876488539,      0.8783785386,                 0,                 0,                 0,       0.123330772,    -0.02553562455,      0.8780628303,                 0,       88.93631933
          0,           0,          36,      -3.836103866,     -0.8461812449,      -1.648152896,       1.621037785,      -7.560502667,    0.009919060506,       0.879208177,                 0,                 0,                 0,      0.1235634123,    -0.02552652673,      0.8788935105,                 0,       88.63825122
          0,           0,          37,      -3.863443718,     -0.8686606221,      -1.672816503,       1.593901721,      -7.528081769,    0.009957288126,      0.8800347279,                 0,                 0,                 0,      0.1237742989,    -0.02552164529,      0.8797209305,                 0,       88.38096445
          0,           0,          38,       -3.88015307,     -0.8906215892,      -1.697341189,       1.577103286,      -7.458514448,    0.009987538873,      0.8807914064,                 0,                 0,                 0,      0.1239485173,    -0.02552191795,      0.8804782134,                 0,       88.18903411
          0,           0,          39,       -3.88504508,      -0.912030515,      -1.719914999,       1.571904683,      -7.391042817,     0.01000867435,      0.8814388758,                 0,                 0,                 0,      0.1240814578,    -0.02552689667,      0.8811260086,                 0,       88.06749472
          0,           0,          40,      -3.879409647,     -0.9328374537,      -1.738336647,       1.577076111,      -7.346071454,     0.01002177611,      0.8819638412,                 0,                 0,                 0,      0.1241767151,    -0.02553496491,      0.8816510754,                 0,       88.00474402
          0,           0,          41,      -3.868342802,     -0.9530270441,      -1.753953286,       1.587573923,      -7.330909689,      0.0100290307,      0.8823703027,                 0,                 0,                 0,      0.1242420053,    -0.02554409912,       0.882057499,                 0,       87.98161345
          0,           0,          42,      -3.858080984,     -0.9726900997,      -1.771385874,       1.597156697,      -7.344514352,     0.01003179974,       0.882676256,                 0,                 0,                 0,      0.1242841791,    -0.02555366415,      0.8823633153,                 0,       87.98782662
